x1,x2,x3,x4,loss_estimate,iter
685.0643157958984,714.9356842041016,714.9356842041016,685.0643157958984,0.10135401473900926,0
736.073887348175,663.926112651825,663.926112651825,736.073887348175,0.11743872722048543,0
992.669951915741,407.33004808425903,407.33004808425903,992.669951915741,0.2753377194467858,0
423.69363084435463,976.3063691556454,976.3063691556454,423.69363084435463,0.07518603856567045,0
547.5419342517853,852.4580657482147,852.4580657482147,547.5419342517853,0.006946893070289898,0
869.2548990249634,530.7451009750366,530.7451009750366,869.2548990249634,0.20557414887918787,0
839.5652770996094,560.4347229003906,560.4347229003906,839.5652770996094,0.19000986414067275,0
581.1361372470856,818.8638627529144,818.8638627529144,581.1361372470856,0.03867333125530203,0
597.9321658611298,802.0678341388702,802.0678341388702,597.9321658611298,0.049962843013533396,0
781.3708543777466,618.6291456222534,618.6291456222534,781.3708543777466,0.15972302811143482,0
889.9603366851807,510.03966331481934,510.03966331481934,889.9603366851807,0.21271641105595585,0
493.2384043931961,906.7615956068039,906.7615956068039,493.2384043931961,0.02766856714210321,0
444.82780396938324,955.1721960306168,955.1721960306168,444.82780396938324,0.063399904678624,0
938.813054561615,461.186945438385,461.186945438385,938.813054561615,0.2027985584229335,0
752.438223361969,647.561776638031,647.561776638031,752.438223361969,0.13109416940707755,0
626.4191389083862,773.5808610916138,773.5808610916138,626.4191389083862,0.0676337481966629,0
657.1470439434052,742.8529560565948,742.8529560565948,657.1470439434052,0.07411132475504213,0
764.3429040908813,635.6570959091187,635.6570959091187,764.3429040908813,0.13114450191944282,0
945.586347579956,454.41365242004395,454.41365242004395,945.586347579956,0.23409467693453187,0
470.4243168234825,929.5756831765175,929.5756831765175,470.4243168234825,0.04550852859302364,0
541.4400473349115,858.5599526650885,858.5599526650885,541.4400473349115,0.020561728288232103,1
553.4632074832916,846.5367925167084,846.5367925167084,553.4632074832916,0.010355816758393623,2
557.5188505649567,842.4811494350433,842.4811494350433,557.5188505649567,0.01713711377303652,3
548.6069214344025,851.3930785655975,851.3930785655975,548.6069214344025,0.006549593597573095,4
550.6019270420074,849.3980729579926,849.3980729579926,550.6019270420074,0.03170483138184752,5
564.2078185081482,835.7921814918518,835.7921814918518,564.2078185081482,0.0213490631671992,6
555.0523430109024,844.9476569890976,844.9476569890976,555.0523430109024,0.01888885953050447,7
553.4213569760323,846.5786430239677,846.5786430239677,553.4213569760323,0.010355816758393623,8
548.0743614584208,851.9256385415792,851.9256385415792,548.0743614584208,0.006549593597573095,9
709.1919721397035,706.7431154384104,845.2009226969462,709.1919721397035,0.027096156022118616,10
991.838002204895,939.5339071750641,851.2845164917527,991.838002204895,0.16230905209250082,11
618.8974554627496,403.98422479629517,843.7003986908304,618.8974554627496,0.19536993755033627,12
503.9417844926034,854.0398130017289,407.9780697822571,503.9417844926034,0.23455234735672487,13
625.135520967449,930.191328541698,859.4322126085181,625.135520967449,0.06181877502628749,14
428.5010412335396,848.0202624356483,999.9109178126403,428.5010412335396,0.11162612729409367,15
588.3990061889144,776.4072392142317,852.9293514797862,588.3990061889144,0.014432560020046052,16
406.0915453058797,812.7613955300956,853.3393904102595,406.0915453058797,0.07582790722885305,17
546.780557371246,980.1865278730302,629.0291071138139,546.780557371246,0.12112492214726779,18
546.5664028502429,673.4134272202201,795.4825105123705,546.5664028502429,0.07901646356886824,19
551.0731446684971,980.4724538179868,803.323480310713,551.0731446684971,0.0821691430213747,20
549.2451469836066,960.6011526310903,936.1461712048568,549.2451469836066,0.03936572739830942,21
597.420735497624,822.9925623439804,851.2594329000353,597.420735497624,0.017529753919726415,22
583.091527472648,894.2252515777209,851.5523603391414,583.091527472648,0.026237705405366556,23
551.6969526619695,807.3046957422357,851.1032257292561,551.6969526619695,0.007322668254585421,24
527.8140253664021,823.4788479039779,851.9866175183552,527.8140253664021,0.0020309427588553947,25
527.9769556614037,809.5274770135377,854.676058230628,527.9769556614037,0.04868335434425939,26
536.2840537733194,805.0331821277867,852.0503954590597,536.2840537733194,0.0197011916107937,27
504.41505262155397,815.2248701853805,851.0579794739609,504.41505262155397,0.06486946897609118,28
500.38962525196814,823.7004218776658,852.539762286425,500.38962525196814,0.06438120579289365,29
528.1010695430983,828.6611299456512,835.3233440125393,528.1010695430983,0.03418384971218676,30
526.5216500912586,969.6448088757893,851.810696894474,526.5216500912586,0.006549593597573095,31
